X,Y,Z,% of ICNIRP Public,
-14.9688,14.775,3.9,0.251845,
-14.9688,17.7,3.9,0.242313,
-14.9688,20.625,3.9,0.225696,
-14.9688,23.55,3.9,0.208496,
-14.9688,26.475,3.9,0.18767,
-14.9688,29.4,3.9,0.165157,
16.9688,82.05,3.9,0.0318825,
16.9688,79.125,3.9,0.0340683,
14.6875,79.125,3.9,0.035244,
16.9688,76.2,3.9,0.0365761,
12.4062,82.05,3.9,0.0333193,
23.8125,79.125,3.9,0.0311909,
26.0938,76.2,3.9,0.0313398,
21.5312,82.05,3.9,0.0303043,
16.9688,41.1,3.9,0.0951849,
16.9688,38.175,3.9,0.10621,
19.25,38.175,3.9,0.0952497,
14.6875,44.025,3.9,0.0937141,
12.4062,46.95,3.9,0.0910678,
16.9688,35.25,3.9,0.116034,
21.5312,35.25,3.9,0.0916222,
16.9688,29.4,3.9,0.138755,
16.9688,26.475,3.9,0.151463,
16.9688,23.55,3.9,0.161388,
16.9688,20.625,3.9,0.171976,
23.8125,26.475,3.9,0.0919543,
21.5312,29.4,3.9,0.102524,
26.0938,26.475,3.9,0.0778896,
28.375,26.475,3.9,0.0662669,
26.0938,29.4,3.9,0.0764743,
30.6562,23.55,3.9,0.0546535,
32.9375,20.625,3.9,0.0442028,
-35.5,38.175,3.9,0.0441651,
-33.2188,35.25,3.9,0.050734,
-33.2188,38.175,3.9,0.0500562,
-30.9375,38.175,3.9,0.055565,
-30.9375,26.475,3.9,0.0583825,
-33.2188,29.4,3.9,0.0505609,
-28.6562,26.475,3.9,0.0683658,
-26.375,26.475,3.9,0.0804665,
-28.6562,29.4,3.9,0.0684454,
-24.0938,23.55,3.9,0.0972987,
-21.8125,20.625,3.9,0.1187,
-19.5312,17.7,3.9,0.147993,
-17.25,14.775,3.9,0.188138,
-14.9688,11.85,3.9,0.247595,
-12.6875,8.925,3.9,0.332876,
-10.4062,6,3.9,0.460889,
-8.125,3.075,3.9,0.585911,
-5.84375,0.15,3.9,0.478049,
-3.5625,-2.775,3.9,0.0834884,
-1.28125,-5.7,3.9,0.0186827,
-1.28125,82.05,3.9,0.0355759,
-1.28125,79.125,3.9,0.0382352,
-3.5625,79.125,3.9,0.0381793,
-1.28125,76.2,3.9,0.0412031,
