X,Y,Z,% of ICNIRP Public,
2.9,-13.3125,3.9,0.00310735,
4.15,-13.3125,3.9,0.00247884,
-3.35,-13.3125,3.9,0.00396569,
-3.35,-11.75,3.9,0.00466382,
-3.35,-10.1875,3.9,0.00543632,
-3.35,-8.625,3.9,0.00636763,
4.15,32,3.9,0.218243,
4.15,30.4375,3.9,0.238228,
5.4,30.4375,3.9,0.231826,
4.15,28.875,3.9,0.260978,
4.15,27.3125,3.9,0.288884,
6.65,28.875,3.9,0.242925,
7.9,27.3125,3.9,0.254086,
4.15,3.875,3.9,1.98859,
4.15,2.3125,3.9,1.56069,
2.9,5.4375,3.9,2.91518,
4.15,5.4375,3.9,2.01906,
-19.6,-0.8125,3.9,0.0381327,
-18.35,-2.375,3.9,0.0333878,
-18.35,-0.8125,3.9,0.043207,
-17.1,-3.9375,3.9,0.0280232,
-15.85,-5.5,3.9,0.0230027,
-17.1,-0.8125,3.9,0.0493438,
-15.85,-0.8125,3.9,0.0568542,
-9.6,-13.3125,3.9,0.00299601,
-8.35,-14.875,3.9,0.00187724,
-8.35,-13.3125,3.9,0.00251871,
-10.85,-13.3125,3.9,0.00348901,
-12.1,-13.3125,3.9,0.00405425,
-7.1,-16.4375,3.9,0.00166457,
-5.85,-18,3.9,0.00178789,
-7.1,-13.3125,3.9,0.00231542,
-5.85,-13.3125,3.9,0.00249627,
-13.35,-13.3125,3.9,0.0045085,
-13.35,-11.75,3.9,0.00638413,
-13.35,-10.1875,3.9,0.00909787,
-13.35,-8.625,3.9,0.0131347,
-5.85,32,3.9,0.213915,
-5.85,30.4375,3.9,0.232929,
-4.6,30.4375,3.9,0.241261,
-5.85,28.875,3.9,0.257253,
-5.85,27.3125,3.9,0.285461,
-3.35,28.875,3.9,0.270836,
-2.1,27.3125,3.9,0.309131,
-5.85,19.5,3.9,0.503917,
-5.85,17.9375,3.9,0.576256,
-4.6,17.9375,3.9,0.618646,
-7.1,21.0625,3.9,0.416599,
-8.35,22.625,3.9,0.347605,
-5.85,16.375,3.9,0.665691,
-5.85,14.8125,3.9,0.759115,
-3.35,16.375,3.9,0.76553,
-2.1,14.8125,3.9,0.959778,
-9.6,24.1875,3.9,0.293698,
-8.35,24.1875,3.9,0.316979,
-7.1,24.1875,3.9,0.333649,
-5.85,24.1875,3.9,0.353352,
-19.6,24.1875,3.9,0.138568,
-18.35,22.625,3.9,0.158284,
-18.35,24.1875,3.9,0.155054,
-17.1,21.0625,3.9,0.182498,
-15.85,19.5,3.9,0.212683,
-17.1,24.1875,3.9,0.170024,
-15.85,24.1875,3.9,0.190323,
-9.6,11.6875,3.9,0.580697,
-8.35,10.125,3.9,0.764069,
-8.35,11.6875,3.9,0.700969,
-10.85,11.6875,3.9,0.477118,
-12.1,11.6875,3.9,0.384083,
-7.1,8.5625,3.9,1.04128,
-7.1,11.6875,3.9,0.862801,
-13.35,11.6875,3.9,0.317623,
-13.35,13.25,3.9,0.31762,
-13.35,14.8125,3.9,0.31356,
-13.35,16.375,3.9,0.300468,
-13.35,-0.8125,3.9,0.0778718,
-12.1,-0.8125,3.9,0.0928227,
-13.35,0.75,3.9,0.110278,
-10.85,-0.8125,3.9,0.112396,
-9.6,-0.8125,3.9,0.138966,
-13.35,2.3125,3.9,0.148788,
-13.35,3.875,3.9,0.189014,
-3.35,-0.8125,3.9,0.36921,
-2.1,-0.8125,3.9,0.433246,
